key,xValue,value
Dominican Republic,1950,10219
Dominican Republic,1960,83552
Dominican Republic,1970,139249
Dominican Republic,1980,221552
Dominican Republic,1990,359818
Dominican Republic,2000,291492
Dominican Republic,2010,53890
Dominican Republic,2011,46036
Dominican Republic,2012,41535
Dominican Republic,2013,41487
Dominican Republic,2014,44550
Dominican Republic,2015,50382
Ecuador,1820,0
Ecuador,1830,0
Ecuador,1840,0
Ecuador,1850,0
Ecuador,1860,0
Ecuador,1870,7
Ecuador,1880,14
Ecuador,1890,33
Ecuador,1900,33
Ecuador,1910,33
Ecuador,1920,33
Ecuador,1930,320
Ecuador,1940,2207
Ecuador,1950,8574
Ecuador,1960,34107
Ecuador,1970,47464
Ecuador,1980,48015
Ecuador,1990,81358
Ecuador,2000,107977
Ecuador,2010,11463
Ecuador,2011,11068
Ecuador,2012,9284
Ecuador,2013,10553
Ecuador,2014,10871
Ecuador,2015,9816
Egypt,1820,0
Egypt,1830,0
Egypt,1840,0
Egypt,1850,5
Egypt,1860,8
Egypt,1870,29
Egypt,1880,145
Egypt,1890,51
Egypt,1900,51
Egypt,1910,51
Egypt,1920,1063
Egypt,1930,781
Egypt,1940,1613
Egypt,1950,1996
Egypt,1960,5581
Egypt,1970,23543
Egypt,1980,26744
Egypt,1990,44604
Egypt,2000,81564
Egypt,2010,9822
Egypt,2011,9096
Egypt,2012,10172
Egypt,2013,10719
Egypt,2014,12043
Egypt,2015,13907
El Salvador,1820,0
El Salvador,1830,0
El Salvador,1840,0
El Salvador,1850,0
El Salvador,1860,0
El Salvador,1870,3
El Salvador,1880,0
El Salvador,1890,7
El Salvador,1900,7
El Salvador,1910,7
El Salvador,1920,7
El Salvador,1930,712
El Salvador,1940,4885
El Salvador,1950,5094
El Salvador,1960,14405
El Salvador,1970,29428
El Salvador,1980,137418
El Salvador,1990,273017
El Salvador,2000,251237
El Salvador,2010,18547
El Salvador,2011,18477
El Salvador,2012,15874
El Salvador,2013,18015
El Salvador,2014,18964
El Salvador,2015,18699
Ethiopia,1820,0
Ethiopia,1830,0
Ethiopia,1840,0
Ethiopia,1850,0
Ethiopia,1860,0
Ethiopia,1870,0
Ethiopia,1880,0
Ethiopia,1890,0
Ethiopia,1900,0
Ethiopia,1910,0
Ethiopia,1920,0
Ethiopia,1930,10
Ethiopia,1940,28
Ethiopia,1950,302
Ethiopia,1960,804
Ethiopia,1970,2588
Ethiopia,1980,12927
Ethiopia,1990,40097
Ethiopia,2000,87207
Ethiopia,2010,13853
Ethiopia,2011,13985
Ethiopia,2012,15400
Ethiopia,2013,13484
Ethiopia,2014,12926
Ethiopia,2015,12566
Finland,1820,0
Finland,1830,0
Finland,1840,0
Finland,1850,0
Finland,1860,3
Finland,1870,286
Finland,1880,9617
Finland,1890,36719
Finland,1900,36719
Finland,1910,36719
Finland,1920,16922
Finland,1930,2438
Finland,1940,2230
Finland,1950,4923
Finland,1960,4310
Finland,1970,2829
Finland,1980,2569
Finland,1990,3970
Finland,2000,3970
Finland,2010,414
Finland,2011,398
Finland,2012,373
Finland,2013,360
Finland,2014,368
Finland,2015,397
France,1820,7694
France,1830,39330
France,1840,75300
France,1850,81778
France,1860,35938
France,1870,71901
France,1880,48193
France,1890,35616
France,1900,67735
France,1910,60335
France,1920,54842
France,1930,13761
France,1940,36954
France,1950,50113
France,1960,46975
France,1970,27018
France,1980,32894
France,1990,36552
France,2000,45637
France,2010,4339
France,2011,3967
France,2012,4201
France,2013,4668
France,2014,4544
France,2015,5034
Germany,1820,5753
Germany,1830,124726
Germany,1840,385434
Germany,1850,976072
Germany,1860,723734
Germany,1870,751769
Germany,1880,1445181
Germany,1890,579072
Germany,1900,328722
Germany,1910,174227
Germany,1920,386634
Germany,1930,117736
Germany,1940,119403
Germany,1950,576905
Germany,1960,209616
Germany,1970,77142
Germany,1980,85752
Germany,1990,92207
Germany,2000,122373
Germany,2010,7929
Germany,2011,7072
Germany,2012,6732
Germany,2013,6880
Germany,2014,6387
Germany,2015,5965
Greece,1820,17
Greece,1830,49
Greece,1840,17
Greece,1850,32
Greece,1860,51
Greece,1870,209
Greece,1880,1807
Greece,1890,12732
Greece,1900,145402
Greece,1910,198108
Greece,1920,60774
